reponame_branchname,first_module_name,second_module_name,project_name,continueOnError
core_master,Static Environment Fusion,core,TianMaShan-L,FALSE
maf_perception_multi_target_tracking_dev_msd,Object Fusion,maf_perception_multi_target_tracking,TianMaShan-L,FALSE
maf_perception_multi_target_tracking_dev_highway,Object Fusion,maf_perception_multi_target_tracking,TianMaShan-L,FALSE
maf_prediction_zehan/highway_release,Prediction,maf_prediction,TianMaShan-L,FALSE
maf_worldmodel_maf2.1_v0.0.4,World Model(Highway),maf_worldmodel,TianMaShan-L,FALSE
maf_worldmodel_maf2.2,World Model(Highway),maf_worldmodel,TianMaShan-L,FALSE
parking_worldmodel_maf2.2,World Model(Parking),parking_worldmodel,TianMaShan-L,FALSE
parking_worldmodel_dev,World Model(Parking),parking_worldmodel,TianMaShan-L,FALSE
maf_planning_dev-mpilot,Planning,maf_planning,TianMaShan-L,FALSE
maf_planning_dev-mpilot-maf2.2,Planning,maf_planning,TianMaShan-L,FALSE
maf_controller_dev-mpilot,Controller,maf_controller,TianMaShan-L,FALSE
maf_controller_dev-mpilot-maf2.2-base-master,Controller,maf_controller,TianMaShan-L,FALSE
highway_system_manager_maf2.2,System Manager(Highway),highway_system_manager,TianMaShan-L,FALSE
highway_system_manager_maf2.1_v0.0.4,System Manager(Highway),highway_system_manager,TianMaShan-L,FALSE
parking_system_manager_dev,System Manager(Parking),parking_system_manager,TianMaShan-L,FALSE
parking_system_manager_master,System Manager(Parking),parking_system_manager,TianMaShan-L,FALSE
momenta_function_framework_dev,MFF,momenta_function_framework,TianMaShan-L,FALSE
momenta_function_framework_master,MFF,momenta_function_framework,TianMaShan-L,FALSE
momenta_function_framework_maf2.2_v2,MFF,momenta_function_framework,TianMaShan-L,FALSE
mcamera_develop,mcamera,mcamera,TianMaShan-L,FALSE
mcamera_master,mcamera,mcamera,TianMaShan-L,FALSE
momenta_camera_master,momenta camera,momenta_camera,TianMaShan-L,FALSE
